    SN,Loan_ID,Name,Trans_score,Urban,Gender,Age,CoapplicantIncome,Dependents,Self_Employed,Credit_History,ApplicantIncome,Loan_Status
2740,15723894,MARIN,625,Semiurban,Male,45,137555.44,1,0,0,124607.7,0
2741,15787699,MARINA,650,Rural,Male,34,142393.11,1,1,1,11276.48,0
2742,15687738,MARINEL,535,Urban,Female,38,0,2,1,0,136620.64,0
2743,15576126,MARIO,649,Rural,Female,41,125785.23,1,1,1,70523.92,0
2744,15658889,MARION,689,Urban,Male,22,136444.25,1,1,0,51980.25,1
2745,15667046,MARIS,694,Urban,Male,38,121527.4,1,1,0,113481.02,0
2746,15669957,MARISA,655,Rural,Male,52,144696.75,1,1,1,49025.79,0
2747,15655794,MARISELA,620,Rural,Male,36,0,2,1,1,145937.99,0
2748,15599829,MARISOL,577,Urban,Female,35,0,2,1,1,25161.61,0
2749,15753332,MARISSA,401,Urban,Male,48,128140.17,1,1,0,175753.55,1
2750,15671124,MARIUS,599,Semiurban,Male,25,120383.41,1,1,1,24903.09,0
2751,15767474,MARJEAN,481,Urban,Female,57,0,3,1,1,169719.35,1
2752,15720671,MARJORIE,704,Rural,Male,42,129735.3,2,1,1,179565.57,0
2753,15626787,MARK,698,Urban,Female,31,185078.26,1,0,0,115337.74,1
2754,15774491,MARKA,480,Urban,Female,28,0,2,0,0,48131.92,0
2755,15579647,MARLAS,682,Semiurban,Male,42,0,1,1,1,160828.98,0
2756,15625522,MARLENE,700,Semiurban,Male,31,0,2,0,1,145151.96,0
2757,15765806,MARLI,492,Rural,Male,29,144591.96,1,1,1,196293.76,0
2758,15566708,MARLIE,444,Semiurban,Female,45,0,2,1,0,161653.5,1
2759,15668347,MARLIN,624,Rural,Male,36,0,2,0,0,84635.64,0
2760,15575214,MARLO,709,Urban,Male,37,0,1,1,0,159486.76,0
2761,15591123,MARLON,557,Urban,Male,68,100194.44,1,1,1,38596.34,0
2762,15573280,MARLOW,646,Rural,Male,50,145295.31,2,1,1,27814.74,0
2763,15589018,MARLY,719,Rural,Male,28,106070.29,2,1,1,183893.31,0
2764,15654495,MARNIE,706,Semiurban,Female,47,120621.89,1,1,1,140803.7,0
2765,15597265,MARNIN,660,Semiurban,Male,38,0,2,0,1,146585.53,0
2766,15733876,MARNINA,667,Rural,Male,36,0,2,1,1,40062.29,0
2767,15677217,MARO,705,Rural,Male,30,0,1,1,1,181300.32,0
2768,15747265,MARRIM,598,Rural,Female,27,171283.91,1,1,1,84136.12,0
2769,15713379,MARSHA,669,Semiurban,Male,26,0,2,1,1,197594.34,0
2770,15730433,MARSHALL,580,Urban,Female,38,128218.47,1,1,0,125953.83,1
2771,15693347,MARTA,676,Rural,Female,32,0,2,1,1,75465.41,0
2772,15715465,MARTHA,714,Urban,Male,28,77776.39,1,1,0,177737.07,0
2773,15680736,MARTIN,597,Rural,Female,72,124978.19,2,1,1,7144.46,0
2774,15610765,MARTINA,559,Urban,Male,29,0,2,0,0,155639.76,0
2775,15650034,MARTY,564,Semiurban,Female,28,0,1,1,1,162428.05,0
2776,15782468,MARV,850,Rural,Male,51,109799.55,2,1,1,12457.76,1
2777,15685109,MARVA,689,Urban,Male,39,0,2,0,0,14917.09,0
2778,15776233,MARVEL,758,Rural,Female,61,125397.21,1,1,0,182184.09,1
2779,15761141,MARVELA,604,Urban,Female,71,0,2,1,1,129984.2,0
2780,15781702,MARVENE,733,Rural,Male,38,111347.37,2,0,1,194872.97,0
2781,15790235,MARVIN,778,Urban,Male,40,104291.41,2,1,1,117507.11,0
2782,15641416,MARY,732,Urban,Female,61,94867.18,2,1,1,157527.6,1
2783,15775234,MASADA,646,Semiurban,Male,24,0,2,0,0,92612.88,0
2784,15659475,MASHAKA,597,Rural,Female,33,135703.59,2,0,0,74850.84,0
2785,15642202,MASON,821,Semiurban,Female,37,106453.53,2,0,1,127413,0
2786,15771417,MASSIMO,640,Semiurban,Male,43,132412.38,1,0,0,69584.3,1
2787,15585100,MATANA,511,Urban,Female,40,124401.6,1,1,0,198814.24,1
2788,15700487,MATEO,805,Rural,Male,46,118022.06,3,1,0,162643.15,1
2789,15726589,MATHILDA,540,Semiurban,Male,39,82531.11,1,1,0,114092.52,0
2790,15747503,MATHILDE,705,Rural,Male,44,184552.12,1,1,0,68860.3,1
2791,15595883,MATIA,540,Urban,Male,39,127278.31,1,1,1,16150.34,0
2792,15663826,MATIAS,532,Urban,Female,66,0,1,1,1,115227.02,0
2793,15742820,MATILDA,535,Semiurban,Female,45,0,2,0,1,170621.55,0
2794,15624793,MATILDE,627,Semiurban,Male,23,184244.86,1,1,0,103099.22,0
2795,15597930,MATRIKA,646,Urban,Male,52,59669.43,1,0,0,172495.81,1
2796,15665110,MATSU,515,Urban,Female,25,79543.59,1,0,1,38772.82,0
2797,15770719,MATT,697,Urban,Female,39,151553.19,1,1,1,44946.29,0
2798,15731327,MATTEO,652,Rural,Male,27,166527.88,2,0,1,146007.7,0
2799,15576044,MATTHEW,579,Rural,Male,28,150329.15,1,1,0,145558.42,0
2800,15775662,MATTHIAS,760,Semiurban,Male,43,121911.59,1,1,0,193312.33,0
2801,15646817,MATTOX,769,Rural,Male,51,156773.78,2,1,0,40257.79,0
2802,15596060,MATTY,498,Rural,Male,29,127864.26,1,1,1,46677.9,0
2803,15723299,MAUDE,774,Urban,Male,53,113709.28,1,1,1,153887.93,1
2804,15636982,MAULI,705,Rural,Female,43,79974.55,1,1,1,103108.33,0
2805,15751175,MAURA,648,Urban,Female,44,0,2,1,1,58652.23,0
2806,15618936,MAUREEN,688,Rural,Female,51,0,1,1,0,91624.11,1
2807,15787529,MAURICE,592,Urban,Male,38,0,1,1,0,65986.48,1
2808,15780128,MAURILIO,705,Urban,Male,33,144427.96,2,1,0,113845.19,0
2809,15615991,MAURIZIO,654,Rural,Male,42,99263.09,1,1,1,67607.9,0
2810,15757001,MAURO,624,Rural,Female,32,79368.87,2,1,1,145471.94,0
2811,15595388,MAUVE,594,Rural,Female,30,0,2,1,1,124071.71,0
2812,15699550,MAVERICK,695,Urban,Female,34,0,2,1,1,67502.12,0
2813,15581620,MAVIS,597,Rural,Male,28,0,3,1,1,78707.97,0
2814,15600934,MAX,758,Semiurban,Female,52,125095.94,1,1,0,171189.83,1
2815,15738672,MAXIM,737,Urban,Female,40,162485.8,2,1,0,149381.32,0
2816,15721307,MAXIMA,694,Urban,Male,37,95668.82,2,1,0,100335.55,0
2817,15619280,MAXIME,683,Urban,Male,25,0,2,1,0,152698.24,0
2818,15768244,MAXIMILIAN,538,Rural,Female,30,0,2,1,1,41192.95,0
2819,15806837,MAXIMOS,669,Semiurban,Male,37,0,1,1,0,132540.33,0
2820,15643496,MAXINE,730,Urban,Female,34,74197.38,2,1,0,96875.52,0
2821,15813916,MAXWELL,622,Semiurban,Female,31,89688.94,1,1,1,152305.47,0
2822,15626385,MAY,714,Urban,Female,33,103121.33,2,1,1,49672.01,0
2823,15603582,MAYA,569,Urban,Female,34,0,1,1,0,133997.53,0
2824,15764351,MAYAN,668,Semiurban,Female,59,120170.07,1,0,1,50454.8,0
2825,15667938,MAYDA,628,Rural,Male,32,149136.31,2,1,1,16402.11,0
2826,15576360,MAYES,600,Rural,Male,40,141136.79,1,1,1,67803.83,0
2827,15628813,MAYLIN,693,Semiurban,Female,43,152341.55,1,1,0,9241.78,0
2828,15584190,MAYNARD,704,Rural,Male,36,120026.98,2,0,1,100601.73,0
2829,15716449,MCKALE,527,Semiurban,Male,33,132168.28,1,0,0,98734.15,0
2830,15759913,MCKAYLA,553,Rural,Male,43,85200.82,2,1,1,160574.09,0
2831,15701555,MCKENNA,575,Semiurban,Male,53,84903.33,2,0,1,26015.8,0
2832,15758482,MEA,626,Semiurban,Female,32,0,2,0,0,187172.54,0
2833,15758171,MEAD,582,Rural,Male,20,0,1,1,1,55763.66,0
2834,15680346,MEARA,683,Urban,Male,40,0,1,1,0,75848.22,0
2835,15649124,MEDA,850,Urban,Male,30,121535.18,1,0,0,40313.47,0
2836,15812917,MEDARD,653,Urban,Male,35,116662.96,2,1,1,23864.21,0
2837,15768455,MEDEA,679,Rural,Male,60,0,2,1,1,51380.9,0
2838,15703059,MEG,549,Semiurban,Female,49,124829.16,1,0,1,93551.36,0
2839,15646196,MEGAN,850,Urban,Female,36,155180.56,2,0,0,169415.54,0
2840,15585451,MEGED,558,Urban,Female,32,108262.87,1,1,1,6935.31,0
2841,15714057,MEHALIA,528,Semiurban,Male,40,0,2,1,0,25399.7,0
2842,15748473,MEI,801,Semiurban,Male,38,0,2,1,0,66256.27,0
2843,15785782,MEIR,513,Urban,Male,48,0,1,1,1,114709.13,1
2844,15693233,MEKELLE,666,Urban,Male,38,99812.88,2,1,1,158357.97,0
2845,15757521,MEL,606,Urban,Male,35,132164.26,1,0,1,164815.59,0
2846,15812513,MELANIA,599,Urban,Male,45,103583.05,1,1,0,132127.69,1
2847,15674950,MELANIE,544,Semiurban,Male,39,142406.43,2,1,0,146637.45,0
2848,15678572,MELANTHA,529,Urban,Male,38,99842.5,2,1,0,90256.06,1
2849,15713608,MELBA,850,Urban,Female,41,0,2,1,1,34827.43,0
2850,15579262,MELCHIOR,497,Rural,Male,41,0,1,0,0,22074.48,0
2851,15610426,MELE,764,Rural,Female,39,81042.42,1,0,1,109805.17,0
2852,15776454,MELI,603,Rural,Female,48,0,1,1,0,100478.6,1
2853,15771483,MELIA,609,Urban,Male,40,0,2,1,1,97416.34,0
2854,15648489,MELINA,487,Semiurban,Male,53,199689.49,1,1,1,24207.86,1
2855,15646609,MELINDA,748,Urban,Male,33,142645.43,1,0,0,69132.66,0
2856,15693203,MELIORA,710,Semiurban,Female,75,0,2,1,1,9376.89,0
2857,15813067,MELISANDE,432,Urban,Female,45,110219.14,1,1,0,43046.7,1
2858,15769829,MELISSA,534,Urban,Male,51,0,2,0,1,20856.31,0
2859,15662434,MELITA,607,Rural,Male,25,0,2,0,0,187048.72,0
2860,15773503,MELODY,551,Semiurban,Male,32,0,2,1,0,53420.53,0
2861,15705890,MELORA,674,Urban,Male,45,142072.02,1,1,0,37013.29,0
2862,15711398,MELOSA,525,Rural,Female,25,0,2,1,0,89566.64,0
2863,15752375,MELVA,645,Semiurban,Male,33,149564.61,1,0,0,149913.84,0
2864,15659175,MELVIN,755,Semiurban,Female,43,0,2,1,0,18066.69,0
2865,15597033,MELVINA,708,Rural,Male,37,153366.13,1,1,1,26912.34,0
2866,15590228,MELVYN,715,Semiurban,Male,21,76467.16,1,1,1,173511.72,0
2867,15631848,MENDEL,727,Urban,Female,26,121508.28,1,1,1,146785.44,0
2868,15654211,MENORA,559,Rural,Female,27,0,1,0,1,1050.33,0
2869,15707968,MERCEDES,545,Semiurban,Male,36,73211.12,2,1,0,89587.34,1
2870,15594084,MERCER,524,Rural,Male,22,0,2,1,0,74405.34,0
2871,15651093,MERCIA,707,Semiurban,Female,55,0,2,0,1,54409.48,0
2872,15798824,MERCY,671,Urban,Male,38,92674.94,2,1,0,3647.57,0
2873,15671591,MEREDITH,439,Rural,Male,52,96196.24,4,1,0,198874.52,1
2874,15707189,MERIA,667,Rural,Female,36,114391.62,1,1,1,53412.54,0
2875,15733581,MERIS,831,Semiurban,Male,32,80262.66,1,1,0,194867.78,0
2876,15641640,MERLE,545,Urban,Female,33,173331.52,1,1,0,150452.88,0
2877,15585284,MERLIN,604,Urban,Female,35,147285.52,1,1,1,57807.05,0
2878,15617866,MERRILL,657,Urban,Male,67,119785.47,2,1,1,107534.32,0
2879,15667751,MERRITT,487,Rural,Female,36,140137.15,1,1,0,194073.33,0
2880,15669411,MERRY,750,Semiurban,Female,52,107467.56,1,1,0,126233.18,1
2881,15789425,MERTON,694,Rural,Female,37,98218.04,2,1,0,182354.46,1
2882,15570943,MERV,711,Urban,Female,35,133607.75,1,1,1,120586.32,0
2883,15685829,MERVIN,551,Urban,Male,37,0,2,1,1,50578.4,0
2884,15721917,MERVYN,559,Urban,Female,38,95139.41,1,1,1,86575.46,0
2885,15776047,MERYL,620,Semiurban,Female,29,0,2,0,1,153392.28,0
2886,15716024,MERYLE,660,Rural,Male,42,0,2,1,0,115509.59,0
2887,15675328,MESHAL,449,Rural,Female,37,0,2,1,0,82176.48,0
2888,15604314,MESSINA,703,Semiurban,Female,26,97331.19,1,1,0,63717.49,0
2889,15658339,METEA,795,Rural,Male,37,139265.63,2,1,1,198745.94,0
2890,15630402,METTABEL,594,Urban,Female,31,0,1,0,1,5719.11,0
2891,15689616,MIA,586,Semiurban,Male,34,168094.01,1,0,0,20058.61,0
2892,15774224,MICAH,613,Rural,Female,30,131563.88,2,1,0,170638.98,0
2893,15701291,MICHAEL,601,Semiurban,Male,44,0,2,1,0,30607.11,0
2894,15719606,MICHAELA,657,Semiurban,Male,50,0,2,0,0,37171.46,0
2895,15644119,MICHAL,531,Urban,Male,31,0,1,1,1,42589.33,0
2896,15646859,MICHEL,621,Semiurban,Male,47,107363.29,1,1,1,66799.28,0
2897,15606836,MICHELE,782,Semiurban,Female,33,94493.03,1,0,1,101866.39,0
2898,15664150,MICHELINE,528,Urban,Female,29,170214.23,2,1,0,49284,0
2899,15624510,MICHELLE,696,Urban,Male,52,139781.06,1,1,0,27445.4,1
2900,15810944,MICHON,586,Rural,Female,35,0,2,1,0,70760.69,0
2901,15668575,MICK,626,Semiurban,Female,26,148610.41,3,0,1,104502.02,1
2902,15603246,MICKEY,498,Rural,Male,73,170241.7,2,1,1,165407.96,0
2903,15804002,MICOL,691,Semiurban,Female,33,128306.83,1,1,1,113580.79,0
2904,15728773,MIEKO,568,Semiurban,Female,47,0,2,1,1,45978.39,0
2905,15598044,MIETTE,715,Rural,Female,35,0,1,1,1,152012.36,0
2906,15694829,MIGDANA,680,Rural,Male,32,175454,1,0,1,77349.92,0
2907,15600575,MIGNON,802,Rural,Male,41,0,2,1,0,47322.05,0
2908,15727311,MIKA,539,Rural,Female,22,100885.93,2,1,1,38772.65,0
2909,15570769,MIKAILI,494,Rural,Male,69,93320.8,1,1,1,24489.44,0
2910,15606274,MIKE,594,Semiurban,Male,38,63176.44,2,1,1,14466.08,0
2911,15746139,MIKHAIL,596,Rural,Male,33,139451.67,1,0,0,63142.12,0
2912,15704987,MIKI,649,Urban,Female,52,49113.75,1,1,0,41858.43,0
2913,15628972,MIKKEL,699,Rural,Male,32,123906.22,3,1,1,127443.82,1
2914,15697686,MILAN,787,Rural,Female,40,0,2,1,1,84151.98,0
2915,15733883,MILANDU,604,Semiurban,Male,28,0,2,0,0,58595.64,0
2916,15617482,MILDRED,489,Semiurban,Female,52,131441.51,1,1,0,37240.11,1
2917,15704583,MILES,651,Urban,Male,56,0,1,1,0,114522.68,1
2918,15621083,MILI,698,Urban,Male,57,136325.48,2,1,1,72549.27,1
2919,15649487,MILIANI,578,Rural,Female,38,113150.44,2,1,0,176712.59,1
2920,15736760,MILLER,538,Semiurban,Female,42,0,1,0,0,152855.96,0
2921,15714658,MILLICENT,696,Semiurban,Female,33,0,2,1,1,73371.65,0
2922,15599081,MILLIE,507,Urban,Female,46,102785.16,1,1,1,70323.68,0
2923,15705113,MILLS,685,Rural,Male,34,83264.28,1,0,0,9663.28,0
2924,15631159,MILLY,705,Semiurban,Male,41,72252.64,2,1,1,142514.66,0
2925,15792818,MILO,499,Semiurban,Female,29,148051.52,1,1,0,118623.94,0
2926,15633531,MILT,717,Rural,Female,76,138489.66,1,1,1,68400.14,0
2927,15744529,MILTON,510,Urban,Male,63,0,2,1,1,115291.86,0
2928,15669656,MIMI,632,Semiurban,Male,32,111589.33,1,1,1,170382.99,0
2929,15581198,MINA,668,Semiurban,Female,39,122104.79,1,1,0,112946.67,1
2930,15729054,MINDA,744,Urban,Male,32,96106.83,1,1,1,79812.77,0
2931,15573452,MINDY,663,Semiurban,Male,42,115930.87,1,1,0,19862.78,0
2932,15776733,MINERVA,638,Rural,Female,37,124513.66,2,1,0,158610.89,0
2933,15724858,MINIYA,688,Semiurban,Female,54,0,1,1,0,191212.63,1
2934,15713144,MINNA,588,Urban,Male,46,0,1,1,0,61931.21,0
2935,15690188,MINNIE,631,Rural,Male,33,0,1,1,1,58043.02,1
2936,15689425,MINOR,687,Rural,Male,35,100988.39,2,1,0,22247.27,0
2937,15671766,MINTY,599,Semiurban,Male,44,118577.24,1,1,1,31448.52,0
2938,15782806,MIO,718,Semiurban,Male,28,0,2,1,0,146875.86,0
2939,15764419,MIRA,730,Semiurban,Male,27,0,2,1,1,116081.93,0
2940,15591915,MIRABEL,533,Urban,Female,39,0,1,0,1,73669.94,1
2941,15772798,MIRABELLE,711,Rural,Female,28,0,2,1,1,93959.96,0
2942,15792008,MIRACLE,555,Rural,Female,26,0,2,0,1,158918.03,0
2943,15715541,MIRANDA,850,Semiurban,Female,42,113311.11,1,1,1,198193.75,0
2944,15639277,MIRCEA,678,Semiurban,Female,41,0,1,0,0,13160.03,0
2945,15798850,MIREILLE,576,Semiurban,Male,32,0,2,1,0,4660.91,0
2946,15776348,MIRELLA,835,Rural,Male,20,124365.42,1,0,0,180197.74,1
2947,15727696,MIRIAM,592,Rural,Male,42,147249.29,2,1,1,63023.02,0
2948,15793813,MIRIT,774,Urban,Male,36,103688.19,1,0,1,118971.74,0
2949,15694395,MIROSLAV,620,Semiurban,Female,29,138740.24,2,0,0,154700.61,0
2950,15764195,MIRRA,519,Urban,Male,39,111900.14,1,1,1,97577.17,0
2951,15744919,MISAE,734,Semiurban,Female,37,152760.24,1,1,1,48990.5,0
2952,15671655,MISHA,763,Urban,Male,31,143966.3,2,1,1,140262.96,1
2953,15654901,MISTY,733,Rural,Male,51,141556.96,1,1,0,130189.53,0
2954,15649136,MISU,650,Semiurban,Female,43,0,2,1,1,16301.91,0
2955,15775562,MITCH,538,Rural,Female,33,0,2,1,0,126962.41,0
2956,15807481,MITCHEL,577,Semiurban,Female,46,0,1,1,1,158750.53,0
2957,15642885,MITCHELL,792,Rural,Male,30,0,2,1,0,199644.2,0
2958,15789109,MIYA,686,Urban,Female,41,0,1,1,1,144272.71,1
2959,15814004,MIYANDA,589,Semiurban,Male,29,0,2,0,1,98320.27,0
2960,15673619,MIYOKO,530,Rural,Male,25,162560.32,1,1,0,64129.03,0
2961,15595135,MIZELL,778,Rural,Female,29,123229.46,1,1,0,181221.09,0
2962,15583681,MOANA,616,Semiurban,Male,31,76665.71,2,1,1,163809.08,0
2963,15605000,MOANNA,550,Semiurban,Male,38,140278.99,3,1,1,171457.06,1
2964,15718071,MODESTA,655,Rural,Female,51,0,2,0,1,15801.02,0
2965,15679760,MODESTY,721,Semiurban,Male,46,115764.32,2,0,0,102950.79,0
2966,15654574,MOHAMMED,499,Rural,Male,36,131142.53,2,1,0,174918.46,0
2967,15577178,MOHAN,511,Urban,Male,45,68375.27,1,1,0,193160.25,1
2968,15595324,MOINA,579,Urban,Female,39,117833.3,3,0,0,5831,1
2969,15756932,MOIRA,696,Urban,Female,36,0,2,1,1,82298.59,0
2970,15726358,MOKE,681,Urban,Male,34,0,2,0,0,130686.59,0
2971,15595228,MOLLY,815,Rural,Male,45,0,1,0,1,52885.23,1
2972,15782530,MONA,681,Semiurban,Male,30,111093.01,1,1,0,68985.99,0
2973,15592877,MONAHAN,641,Urban,Male,42,132657.55,1,1,0,35367.19,0
2974,15651983,MONICA,591,Semiurban,Female,56,128882.49,1,1,1,196241.94,1
2975,15746737,MONITA,565,Rural,Male,59,69129.59,1,1,1,170705.53,0
2976,15774179,MONROE,487,Rural,Male,37,0,2,1,1,126477.41,0
2977,15667265,MONTAGUE,729,Semiurban,Male,39,121404.64,1,1,1,159618.17,0
2978,15655123,MONTANA,505,Semiurban,Female,45,131355.3,3,1,0,195395.33,1
2979,15595917,MONTE,580,Semiurban,Female,35,102097.33,1,0,1,168285.85,0
2980,15668385,MONTEGO,642,Rural,Male,40,154863.15,1,1,1,138052.51,0
2981,15709476,MONTGOMERY,850,Semiurban,Female,41,99945.93,2,1,0,71179.31,0
2982,15711218,MONTY,616,Semiurban,Male,39,121704.32,2,1,0,55556.3,0
2983,15798659,MOON,526,Rural,Female,43,0,2,1,0,31705.19,0
2984,15663939,MOON-UNIT,523,Rural,Male,35,138782.76,1,1,1,186118.93,0
2985,15694946,MORA,663,Semiurban,Male,35,0,2,1,1,195580.28,0
2986,15631912,MORAL,840,Rural,Male,30,136291.71,1,1,0,54113.38,0
2987,15768816,MORATHI,570,Semiurban,Male,42,107856.57,2,1,0,127528.84,0
2988,15682268,MORDECAI,676,Semiurban,Female,26,108348.66,1,0,0,60231.74,1
2989,15684801,MORE,689,Semiurban,Male,47,93871.95,3,1,0,156878.42,1
2990,15636428,MORELA,703,Semiurban,Female,45,0,1,1,0,182784.11,1
2991,15809823,MOREY,491,Rural,Male,19,125860.2,1,0,0,129690.5,0
2992,15699284,MORGAN,584,Urban,Male,49,172713.44,1,1,0,113860.81,0
2993,15786993,MORGANA,810,Rural,Female,51,0,2,0,1,184524.74,0
2994,15709441,MORIAH,745,Semiurban,Female,59,0,1,1,1,36124.98,0
2995,15710257,MORIBA,625,Urban,Female,39,130786.92,1,0,1,121316.07,0
2996,15582492,MORLEY,535,Rural,Female,29,112367.34,1,1,0,185630.76,0
2997,15575694,MORNA,729,Urban,Female,45,91091.06,2,1,0,71133.12,0
2998,15756820,MORRIE,655,Semiurban,Female,26,106198.5,1,0,1,32020.42,0
2999,15766289,MORRIGAN,751,Rural,Male,47,142669.93,2,1,0,162760.96,0
3000,15593014,MORRIS,525,Rural,Male,33,112833.35,1,0,1,175178.56,0
3001,15584545,MORRISON,532,Semiurban,Female,40,0,2,0,1,177099.71,0
3002,15675949,MORSE,696,Semiurban,Female,43,0,2,1,1,66406.37,0
3003,15672091,MORT,786,Semiurban,Female,32,104336.43,2,0,0,59559.81,0
3004,15801658,MORTIMER,580,Urban,Male,55,104305.74,1,0,1,175750.21,0
3005,15706185,MORTON,596,Semiurban,Male,47,140187.1,2,1,1,174311.3,0
3006,15789863,MORTY,683,Rural,Male,39,0,2,1,0,171716.81,0
3007,15720943,MORWENNA,747,Semiurban,Female,45,114959.12,1,1,0,189362.39,1
3008,15697997,MOSES,602,Rural,Male,33,164704.38,1,0,1,180716.1,1
3009,15665416,MOSHE,779,Semiurban,Male,62,119096.55,1,0,1,116977.89,0
3010,15660200,MOSS,551,Rural,Male,31,0,2,1,1,185105.44,0
3011,15619653,MOSTYN,666,Rural,Male,47,0,1,1,0,35046.97,1
3012,15773447,MOYA,526,Rural,Male,30,0,1,1,0,36251,0
3013,15739160,MOYNA,849,Urban,Female,41,115465.28,1,1,0,103174.5,0
3014,15689237,MRENA,471,Urban,Female,27,0,2,1,0,122642.09,0
3015,15679297,MUHAMMAD,628,Rural,Male,43,184926.61,1,1,0,122937.57,0
3016,15591433,MUNA,674,Semiurban,Male,43,85957.88,2,1,0,8757.39,0
3017,15642725,MURA,797,Urban,Male,32,114084.6,1,0,1,125782.29,0
3018,15701962,MURIEL,590,Semiurban,Female,29,166930.76,2,1,0,122487.73,0
3019,15811613,MURPHY,588,Semiurban,Female,27,0,1,1,0,20066.38,0
3020,15741049,MURRAY,577,Semiurban,Male,29,0,2,1,1,55473.15,0
3021,15724423,MURRON,571,Semiurban,Female,38,107193.82,2,0,0,38962.94,0
3022,15574305,MUSOKE,680,Semiurban,Male,36,116275.12,1,1,1,63795.8,0
3023,15678168,MUTIA,648,Rural,Female,27,0,2,1,1,163060.43,0
3024,15697020,MYKEL,618,Semiurban,Male,39,91068.56,1,1,0,26578.69,0
3025,15610801,MYLES,648,Urban,Male,41,123049.21,1,0,1,5066.76,0
3026,15745232,MYRA,759,Rural,Female,39,0,2,1,1,140497.67,0
3027,15722758,MYRILLA,585,Urban,Male,40,0,2,0,0,146156.98,0
3028,15792102,MYRLADIS,774,Rural,Female,42,137781.65,1,0,0,199316.19,0
3029,15675185,MYRNA,697,Urban,Female,48,108128.96,2,1,1,103944.37,0
3030,15801247,MYRON,605,Urban,Male,39,105317.73,2,1,0,138021.36,0
3031,15725660,MYRTLE,676,Urban,Male,20,80569.73,1,0,0,68621.98,0
3032,15638963,NAAL,678,Urban,Female,22,174852.89,1,1,1,28149.06,0
3033,15800061,NADIA,495,Urban,Female,45,89158.94,3,1,0,135169.76,1
3034,15578006,NADIE,787,Semiurban,Female,85,0,2,1,1,116537.96,0
3035,15668504,NADINE,770,Semiurban,Male,36,89800.14,1,1,1,105922.69,0
3036,15687491,NAFIS,817,Urban,Male,45,101207.75,1,0,0,88211.12,1
3037,15610403,NAFUNA,659,Semiurban,Male,43,106086.42,2,1,0,26900.63,0
3038,15741094,NAISER,693,Urban,Male,21,0,2,1,1,3494.02,0
3039,15807909,NAKIMA,744,Rural,Male,47,0,2,1,0,113163.17,0
3040,15666141,NALO,829,Urban,Female,26,101440.36,2,1,1,19324.5,0
3041,15617134,NAMIR,716,Semiurban,Male,38,0,2,1,0,189678.7,0
3042,15783029,NAN,671,Urban,Male,34,106603.74,2,1,1,26387.71,0
3043,15622833,NANCY,835,Semiurban,Female,29,130420.2,2,0,0,106276.55,0
3044,15746422,NANETTE,636,Rural,Female,38,0,1,1,0,45015.38,0
3045,15750839,NANI,649,Rural,Male,29,45022.23,1,1,1,173495.77,0
3046,15749130,NAOLIN,621,Rural,Male,27,74298.43,1,1,1,52581.96,0
3047,15779862,NAOLL,658,Urban,Female,31,133003.03,1,0,1,146339.27,1
3048,15767871,NAOMI,784,Semiurban,Male,48,0,2,1,1,182609.97,0
3049,15679651,NAPOLEON,783,Semiurban,Female,37,136689.66,1,1,0,197890.65,0
3050,15576219,NARA,615,Semiurban,Male,32,0,2,1,1,6225.63,0
3051,15699247,NARCISSE,791,Semiurban,Female,44,0,2,1,1,123977.86,1
3052,15619087,NARDO,762,Semiurban,Male,53,102520.37,1,1,1,170195.4,0
3053,15605327,NARIAH,607,Semiurban,Male,35,0,2,1,1,114190.3,0
3054,15610140,NASCHA,601,Rural,Female,34,0,2,1,0,27022.57,0
3055,15791174,NASHA,540,Urban,Male,67,88382.01,1,0,1,59457,0
3056,15602373,NASIA,812,Rural,Male,44,115049.15,2,1,0,165038.41,0
3057,15762605,NASSER,685,Rural,Male,58,104796.54,1,1,1,154181.41,0
3058,15598840,NAT,680,Semiurban,Male,33,123082.08,1,1,0,134960.98,0
3059,15744279,NATALA,680,Rural,Female,58,0,2,1,1,65708.5,0
3060,15670619,NATALIA,631,Urban,Female,33,0,2,0,0,117374.22,0
3061,15599533,NATALIE,569,Urban,Female,43,0,2,1,1,77703.19,0
3062,15757837,NATALYA,584,Rural,Male,33,88311.48,2,1,1,177651.38,0
3063,15697574,NATANE,582,Urban,Female,40,0,3,1,1,60954.45,0
3064,15578738,NATASHA,609,Rural,Male,32,71872.19,1,1,1,151924.9,0
3065,15762228,NATE,506,Semiurban,Male,35,110046.93,2,1,0,26318.73,0
3066,15614827,NATHALIE,503,Urban,Male,42,104430.08,1,1,1,147557.71,0
3067,15789815,NATHAN,503,Semiurban,Female,28,0,2,1,0,125918.17,0
3068,15579781,NATHANIEL,806,Rural,Male,31,138653.51,1,1,0,190803.37,0
3069,15587013,NATINE,653,Rural,Female,31,102575.04,1,1,1,11043.54,0
3070,15570932,NATIVIDAD,666,Rural,Male,43,137780.74,2,1,1,119100.05,1
3071,15794661,NATORI,674,Rural,Male,32,0,2,1,0,140579.17,0
3072,15581654,NATSU,798,Urban,Male,32,0,2,0,1,37731.95,0
3073,15644296,NATURE,740,Urban,Female,30,105209.54,1,1,0,1852.58,0
3074,15614420,NAVARRO,531,Semiurban,Female,32,109570.21,2,1,1,172049.84,0
3075,15609653,NAVEEN,614,Urban,Female,44,118715.86,1,1,0,133591.11,1
3076,15594577,NAVID,556,Urban,Male,35,0,2,1,1,192751.18,0
